audio_path,question,response,UUID,creation_time
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
,(?),,,
